,artists_name,artists_id,track_name,track_id,popularity,album_name,id_album,album_type,release_date,duration
0,Gjon's Tears,0RIwEP1SaALlxn9jOVqHfA,Répondez-moi,7t86YtzrVP2wptfK0QmBkW,35,Répondez-moi,3SwLb42Wso5BEw4sASPWyf,single,2020-03-06,179980
1,Daði Freyr,3Hb64DQZIhDCgyHKrzBXOL,Think About Things,2iRniYXjMHKmwXqA2jYXP7,1,Think About Things,5gEUjiNfaVse6oloI0c6Vt,single,2020-04-09,173385
2,THE ROOP,34G31kGbSQmemVlI0G784o,On Fire,5TXxwRgdIS4gPjUtKwTuSb,33,On Fire,4XjuVOfBm3hnC330uFs33o,single,2020-01-14,170225
3,Little Big,0pnd3MP2rxAzljR9AqXUJB,UNO,1ucAgkQ4EQDCSXQ2kEk99k,49,UNO,60kZ537D8BGp3GNkGdY0fD,single,2020-03-12,160756
4,Will Ferrell,7xF6Psrf6yNOBkB9jpMRa0,Husavik (My Hometown),6ofMKJjMpfDEb48JYEAgjX,50,Eurovision Song Contest: The Story of Fire Saga (Music from the Netflix Film),0u6ppFo3gWA3vTiGeDTWXl,compilation,2020-06-26,202286
5,Destiny,1D6ueetjwqW491iboMI3NT,All of My Love - Radio edit,15E0nttOxOjP8ukMCtIm5A,0,All of My Love (Radio edit),2x1J9lI1tKzQVK7uay1Vhc,single,2020-04-28,185748
6,Ben Dolic,7bxAuu4sINh8Rwljqdzwcx,Violent Thing - Stage Version,5fzQRty32iF5EmMWlrwZOm,0,Violent Thing (Stage Version),5y0Lo2OB64Y55CpTWa75aP,single,2020-04-24,183658
7,VICTORIA,21rgoGGMOSvl9RD6zeuOnq,Tears Getting Sober,5PnNiSp1xeYI318WPHEIzP,0,Tears Getting Sober,199LsY7aw0QMfCJQKBkL65,single,2020-03-07,182228
8,Ulrikke,5h9tiTx6BP5l5ZCrI7cUYh,Attention,3Irt43mvuVwozBsllZlKCf,35,Attention,57o4J0DnhvqQF7eimKqOK1,single,2020-01-31,180293
9,Montaigne,1ZcnsSFqWusWlRK01vKE6b,Don't Break Me,6m5AwSncp7jlXRYhs4cwOT,28,Don't Break Me,3hRourhNhXEBZijyMbVn7W,single,2020-01-31,180044
10,Efendi,4oe1qp9xGSFxMYH4X9AXtl,Cleopatra,6Rt5DJgi7E2wETXueJF0XM,37,Cleopatra,6eRFQq8WZpZIRn4vWMY6eS,single,2020-03-10,180705
11,The Mamas,5HUGPIHRwh79LbffYIUJeJ,Move,19LiotxKSVs7FeVMEdHz63,38,Move,5dlTRGXAh2m8AXb5nSqPb6,single,2020-02-22,168254
12,BEN & TAN,5UECxOkeFG2n9ESNADgASX,YES,1nAvS4GbkxR7iISU5ZfLPf,41,YES,1vnimcmYr8jeS19ElmGfeo,single,2020-03-08,180489
13,James Newman,4iaTgZRy5aVnImDyRJn61n,My Last Breath,234vNSuQZn7vr8zHwuWLOm,0,My Last Breath,74pX0KfskM6LE3ZHvIIoN8,single,2020-02-27,154840
14,Aksel,7N3Dxs6jonjiDZ2MnfUCPl,Looking Back,5TvXXlRPYayUev7gSUD5az,7,Looking Back,7qgtSnmJ4QPCdwpMWeVMle,single,2020-01-28,171034
15,Roxen,6KCxe5mJlHDJlKEXbNFLsP,Alcohol You,3tpax8RtnwwiFw5QxLWdUY,27,Alcohol You,0a7IgFcJdplMgk7C0dr5r6,single,2020-02-21,176648
16,Diodato,2QWrpLRDeBD1NwWAsytBRi,Fai rumore,5OaBhC8NjdqDhHF9I6r9lS,46,Fai rumore,3aXHRHTglQaQ1KGtVZlbwQ,single,2020-02-05,216140
17,Jeangu Macrooy,3t9HafA5eFHM992s4GZ0Gr,Grow,2VkQOOtMhEkd2KF2AAGVKD,26,Grow,7n1mEyOkjx2HUeW43vBRMH,single,2020-03-04,179975
18,Tom Leeb,35fF6CkBMBkqoebE4lc3GY,Mon alliée - The Best in Me,5P6BMAsTCvRGYqNVtNURnp,20,Mon alliée (The Best in Me),1isfmRSyb29HkODVAGfFHW,single,2020-04-03,177555
19,Go_A,4kvCU3MzggM2piZCqvxj0x,Solovey,1dI3a24CXaNy9WY47cwJsJ,0,Solovey,2iByMe1pYFgKpwgmsi0wTy,single,2020-03-04,176959
20,Benny Cristo,1pkRaEsDK0f573GZFTDW7O,Kemama (Africa Revamp),3McfBBZll7Ksoi3g6GdiVs,12,Kemama (Africa Revamp),0scYUMAsexiqgOF7Y3y63O,single,2020-03-18,186745
21,Sandro,1TRqEXAAI53OmVybdbLIA6,Running,00nykIwGMkrOZ815R6V9mD,20,Running,0LINFQXQ9UQifNOKYbqOFU,single,2020-03-06,182331
