Column1;ranking;name;song;country;;;;
0;1;Duncan Laurence;Arcade;NL;;;;
1;2;Mahmood;Soldi;IT;;;;
2;3;Sergey Lazarev;Scream;RU;;;;
3;4;Luca Hänni;She Got Me;CH;;;;
4;5;John Lundvik;Too Late for Love;SE;;;;
5;6;KEiiNO;Spirit in the Sky;NO;;;;
6;7;Tamara Todevska;Proud;MK;;;;
7;8;Chingiz;Truth;AZ;;;;
8;9;Kate Miller-Heidke;Heidke;AU;;;;
9;10;Hatari;Hatrið mun sigra;IS;;;;
10;11;Lake Malawi;Friend of a Friend;CZ;;;;
11;12;Leonora;Love is Forever;DK;;;;
12;13;Tamta;Replay;CY;;;;
13;14;Michela;Chameleon;MT;;;;
14;15;zalagasper;Sebi;SI;;;;
15;16;Bilal Hassani;Roi;FR;;;;
16;17;Jonida Maliqi;Ktheju Tokës;AL;;;;
17;18;Nevena Božovi?;Kruna;RS;;;;
18;19;Serhat;Say Na Na Na;SM;;;;
19;20;Victor Crone;Storm;EE;;;;
20;21;Katerine Duska;Better Love;GR;;;;
21;22;Miki Núñez;La Venda;ES;;;;
22;23;Kobi Marimi;Home;IL;;;;
23;24;Zena;Like It;BY;;;;
24;25;S!sters;Sister;DE;;;;
25;26;Michael Rice;Bigger Than Us;GB;;;;
26;27;Tulia;Pali si?;PL;;;;
27;28;Pápai Joci;Az én apám;HU;;;;
28;29;Jurijus;Run with the Lions;LT;;;;
29;30;Anna Odobescu;Stay;MD;;;;
30;31;Eliot;Wake Up;BE;;;;
31;32;Ester Peony;On a Sunday;RO;;;;
32;33;Oto Nemsadze;Keep on Going;GE;;;;
33;34;Roko Blaževi?;The Dream;HR;;;;
34;35;Conan Osíris;Telemóveis;PT;;;;
35;36;Carousel;That Night;LV;;;;
36;37;Srbuk;Walking Out;AM;;;;
37;38;D-mol;Heaven;ME;;;;
38;39;Darude;Look Away;FI;;;;
39;40;Pænda;Limits;AT;;;;
40;41;Sarah McTernan;22;IE;;;;
