,ranking,name,song,country
0,1,Loreen,Tattoo,SE
1,2,Käärijä,Cha Cha Cha,FI
2,3,Noa Kirel,Unicorn,IL
3,4,Marco Mengoni,Due vite,IT
4,5,Alessandra,Queen of Kings,NO
5,6,Tvorchi,Heart of Steel,UA
6,7,Gustaph,Because of You,BE
7,8,Alika,Bridges,EE
8,9,Voyager,Promise,AU
9,10,Vesna,My Sister's Crown,CZ
10,11,Monika Linkytė,Stay,LT
11,12,Andrew Lambrou,Break a Broken Heart,CY
12,13,Let 3,Mama ŠČ!,HR
13,14,Brunette,Future Lover,AM
14,15,Teya & Salena,Who The Hell Is Edgar?,AT
15,16,La Zarra,Évidemment,FR
16,17,Blanca Paloma,Eaea,ES
17,18,Pasha Parfeni,Soarele și Luna,MD
18,19,Blanka,Solo,PL
19,20,Remo Forrer,Watergun,CH
20,21,Joker Out,Carpe Diem,SI
21,22,Albina & Familja Kelmendi,Duje,AL
22,23,Mimicat,Ai Coração,PT
23,24,Luke Black,Samo mi se spava,RS
24,25,Mae Muller,I Wrote A Song,GB
25,26,Lord Of The Lost,Blood & Glitter,DE
26,27,Diljá,Power,IS
27,28,Sudden Lights,Aijā,LV
28,29,Iru,Echo,GE
29,30,Victor Vernicos,What They Say,GR
30,31,Wild Youth,We Are One,IE
31,32,Mia Nicolai & Dion Cooper,Burning Daylight,NL
32,33,Reiley,Breaking My Heart,DK
33,34,TuralTuranX,Tell Me More,AZ
34,35,The Busker,Dance (Our Own Party),MT
35,36,Theodor Andrei,D.G.T. (Off and On),RO
36,37,Piqued Jacks,Like An Animal,SM
