eurovision;spotify;año_EU;año_spoty;verification;Columna1;Columna2
Chingiz;Chingiz;2019;2019;Okay;;
John Lundvik;John Lundvik;2019;2019;Okay;;
Kaleen;Kaleen;2024;2024;Okay;;
Michela;Michela;2019;2019;Okay;;
Mahmood;Mahmood;2019;2019;Okay;;
Duncan Laurence;Duncan Laurence;2019;2019;Okay;;
Lake Malawi;Lake Malawi;2019;2019;Okay;;
Hatari;Hatari;2019;2019;Okay;;
Katerine Duska;Katerine Duska;2019;2019;Okay;;
Bilal Hassani;Bilal Hassani;2019;2019;Okay;;
Sergey Lazarev;Sergey Lazarev;2019;2019;Okay;;
Luca Hänni;Luca Hänni;2019;2019;Okay;;
Zena;ZENA;2019;2019;Okay;;
Tamta;Tamta;2019;2019;Okay;;
S!sters;S!sters;2019;2019;Okay;;
Michael Rice;Michael Rice;2019;2019;Okay;;
Leonora;Leonora;2019;2019;Okay;;
Windows95man;Windows95Man;2024;2024;Okay;;
Serhat;Serhat;2019;2019;Okay;;
KEiiNO;KEiiNO;2019;2019;Okay;;
Tulia;Tulia;2019;2019;Okay;;
Sarah McTernan;Sarah McTernan;2019;2019;Okay;;
Eliot;Eliot;2019;2019;Okay;;
Tamara Todevska;Tamara Todevska;2019;2019;Okay;;
Mustii;Mustii;2024;2024;Okay;;
Pænda;PAENDA;2019;2019;Okay;;
Victor Crone;Victor Crone;2019;2019;Okay;;
Srbuk;Srbuk;2019;2019;Okay;;
Luna;LUNA;2024;2024;Okay;;
Kobi Marimi;Kobi Marimi;2019;2019;Okay;;
Tali;TALI;2024;2024;Okay;;
Ester Peony;Ester Peony;2019;2019;Okay;;
Silia Kapsis;Silia Kapsis;2024;2024;Okay;;
Anna Odobescu;Anna Odobescu;2019;2019;Okay;;
Carousel;Carousel;2019;2019;Okay;;
Jonida Maliqi;Jonida Maliqi;2019;2019;Okay;;
Nevena Božovi?;Nevena Bozovic;2019;2019;Okay;;
Ladaniva;Ladaniva;2024;2024;Okay;;
Aiko;Aiko;2024;2024;Okay;;
Conan Osíris;CONAN OSIRIS;2019;2019;Okay;;
Oto Nemsadze;Oto Nemsadze;2019;2019;Okay;;
Gåte;Gåte;2024;2024;Okay;;
Måneskin;Måneskin;2021;2021;Okay;;
Go_A;Go_A;2021;2021;Okay;;
Barbara Pravi;Barbara Pravi;2021;2021;Okay;;
