EurovisionYear,eurovision,spotify,verification
NULL,NULL,"Truth - Radio Edit",Okay
NULL,NULL,"Zero Gravity",Okay
NULL,NULL,"Sebi - Dare To Dream Version",Okay
NULL,NULL,"Fire Of Love (Pali Się)",Okay
NULL,NULL,"Az Én Apám - ESC Version",Okay
NULL,NULL,"Ktheju Tokës - Eurovision 2019 / Albania",Okay
NULL,NULL,"La Venda - Eurovision Song Contest / Tel Aviv 2019",Okay
NULL,NULL,"Siren Song",Okay
NULL,NULL,"Je me casse - Eurovision Official Entry",Okay
NULL,NULL,Tick-Tock,Okay
NULL,NULL,"The Moon Is Rising - Original",Okay
NULL,NULL,"growing up is getting old - Eurovision Version",Okay
NULL,NULL,"Maps - Marco Dalla Villa Remix",Okay
NULL,NULL,"10 Years - Chromeo Remix",Okay
NULL,NULL,"Discoteque - Deepend Remix",Okay
NULL,NULL,"SHUM - Dj NANA Remix",Okay
NULL,NULL,"Tick-Tock - Stefy De Cicco Remix",Okay
NULL,NULL,"Birth Of A New Age - Mason Remix",Okay
NULL,NULL,"The Wrong Place - Hairglow French Crop Mix",Okay
NULL,NULL,"El Diablo - Joytide & Maarlind Remix",Okay
NULL,NULL,"Tout l'univers - Tiery F Remix",Okay
NULL,NULL,"Adrenalina - Steve Aoki Remix",Okay
NULL,NULL,"Amen (Summer Vibes Remix)",Okay
NULL,NULL,"Movement IV - Dawn + Stardust",Okay
NULL,NULL,"Stefania (Kalush Orchestra)",Okay
NULL,NULL,"SPACE MAN - Eurovision Song Contest Edit",Okay
NULL,NULL,"SloMo - Eurovision's Dancebreak Edit",Okay
NULL,NULL,"Hold Me Closer - Eurovision Version",Okay
NULL,NULL,"Trenulețul (cu Frații Advahov) - Eurovision 2022",Okay
NULL,NULL,"Llámame - Eurovision Version",Okay
NULL,NULL,"Lights Off - ESC Version",Okay
NULL,NULL,"Halo (feat. PIA MARIA)",Okay
NULL,NULL,"We Are One - Eurovision Song Contest Edit",Okay
NULL,NULL,"Echo - Eurovision 2023 - Georgia",Okay
NULL,NULL,"Heart of Steel - Eurovision Version",Okay
NULL,NULL,"D.G.T (Off And On)",Okay
NULL,NULL,"Carpe Diem - English Version",Okay
NULL,NULL,"Dizzy - Performance Version",Okay
NULL,NULL,"Fighter - Eurovision Version",Okay
NULL,NULL,"Pedestal - Eurovision version",Okay
