Eurovision_Year,"artista EU","track eu","artista spotify","track spotify",Spotify_EurovisionYear
NULL,NULL,NULL,Aiko,"Pedestal - Eurovision Version","Eurovision 2024"
NULL,NULL,NULL,Albina,Tick-Tock,"Eurovision 2021"
NULL,NULL,NULL,Albina,"Tick-Tock - Stefy De Cicco Remix","Eurovision 2021"
NULL,NULL,NULL,"Ana Soklič","Amen (Summer Vibes Remix)","Eurovision 2021"
NULL,NULL,NULL,"Andrei Ursu","Llámame - Eurovision Version","Eurovision 2022 🇮🇹"
NULL,NULL,NULL,Chanel,"Slomo - Eurovision'S Dancebreak Edit","Eurovision 2022 🇮🇹"
NULL,NULL,NULL,Chingiz,"Truth - Radio Edit","Eurovision 2019"
NULL,NULL,NULL,"Cornelia Jakobs","Hold Me Closer - Eurovision Version","Eurovision 2022 🇮🇹"
NULL,NULL,NULL,"Daði Freyr","10 Years - Chromeo Remix","Eurovision 2021"
NULL,NULL,NULL,Destiny,"Je Me Casse - Eurovision Official Entry","Eurovision 2021"
NULL,NULL,NULL,"Elena Tsagrinou","El Diablo - Joytide & Maarlind Remix","Eurovision 2021"
NULL,NULL,NULL,"Gjon'S Tears","Tout L'Univers - Tiery F Remix","Eurovision 2021"
NULL,NULL,NULL,Go_A,"Shum - Dj Nana Remix","Eurovision 2021"
NULL,NULL,NULL,Hooverphonic,"The Wrong Place - Hairglow French Crop Mix","Eurovision 2021"
NULL,NULL,NULL,Iru,"Echo - Eurovision 2023 - Georgia","Eurovision 2023"
NULL,NULL,NULL,"Jeangu Macrooy","Birth Of A New Age - Mason Remix","Eurovision 2021"
NULL,NULL,NULL,"Joker Out","Carpe Diem - English Version","Eurovision 2023"
NULL,NULL,NULL,"Jonida Maliqi","Ktheju Tokës - Eurovision 2019 / Albania","Eurovision 2019"
NULL,NULL,NULL,Kalush,"Stefania (Kalush Orchestra)","Eurovision 2022 🇮🇹"
NULL,NULL,NULL,"Kate Miller-Heidke","Zero Gravity","Eurovision 2019"
NULL,NULL,NULL,Lum!X,"Halo (Feat. Pia Maria)","Eurovision 2022 🇮🇹"
NULL,NULL,NULL,"Marco Dalla Villa","Maps - Marco Dalla Villa Remix","Eurovision 2021"
NULL,NULL,NULL,Maruv,"Siren Song","Eurovision 2019"
NULL,NULL,NULL,"Miki Núñez","La Venda - Eurovision Song Contest / Tel Aviv 2019","Eurovision 2019"
