,artists_name,artists_id,track_name,track_id,popularity,album_name,id_album,album_type,release_date,duration
0,KALUSH,46rVVJwHWNS7C7MaWXd842,Stefania (Kalush Orchestra),0unPBMjVwn0HpWget3DBze,0,Stefania (Kalush Orchestra),7cNf78nTSY57eTOE1auaBk,single,2022-02-07,179714
1,Sam Ryder,1rvnJJghrxl1xakJZct08m,SPACE MAN - Eurovision Song Contest Edit,7tmBKObyRvblH21o8LuhPL,26,SPACE MAN (Eurovision Song Contest Edit),6qigM6Pz3D5wzfUu9yC2lx,single,2022-05-18,184560
2,Chanel,5DeX42pr2TilrnsUgjG8D1,SloMo - Eurovision's Dancebreak Edit,00rUx6vPpy0XbJer8BcoRn,0,SloMo (Eurovision's Dancebreak Edit),3nrVP8ljurMTI2cEv6ItJA,single,2022-05-15,180000
3,Cornelia Jakobs,7cYZ8F0N2jby95FsxU9hh4,Hold Me Closer - Eurovision Version,6cTWJgNkmhATsI6RJgTPH4,35,Hold Me Closer (Eurovision Version),1DUJ7u6fKeEkfVeTvE3FAq,single,2022-02-24,180573
4,Konstrakta,0mrbJs6eUt85g1ozyYMiUt,In corpore sano,1JaOUMmaSZlWfONvT4HTlg,37,In corpore sano,5OrxFHIvmC4KkSLQI8yhsI,single,2022-02-11,179482
5,Mahmood,06nvjg4wBANK6DCHjqtPNd,Brividi,1ZMGp9MTXbtAPvcKa0U3zS,58,Brividi,06ZMpecsvvoHGWJHlc2St7,single,2022-02-02,199146
6,Zdob si Zdub,21fmCv0mg9Xwnv3WE4mFKu,Trenulețul (cu Frații Advahov) - Eurovision 2022,0IcFeQZD19y54GGhUeCQD7,24,Trenulețul (cu Frații Advahov) [Eurovision 2022],5KTRnFSyjJtqkpraxW9Frn,single,2022-05-20,180845
7,Amanda Tenfjord,187i912U6kpq0F0Z9uOVXr,Die Together,35b0iM96Uid8KI5s83IEHM,37,Die Together,2wwjIcsUvhqDVJt95NrgQB,single,2022-03-10,175466
8,MARO,3NP4jJcW3R6qO6rbtnH0wn,"saudade, saudade",4S4Amrpr631M16IIXqRk73,47,Festival Da Canção 2022,0HkpaChdLLJmEKtoxuiUEx,compilation,2022-01-21,181226
9,Subwoolfer,633Va8wlM3hrqQ4xjqRfOf,Give That Wolf A Banana,50Cf2eYv8zT3v2HAkwhIiL,46,Give That Wolf A Banana,0GPnAl0Q0GMPgFbmScP5as,single,2022-01-10,171933
10,S10,1zT9SWCzN45r7oVhy0VYLK,De Diepte,7uQ7e7nzbtyX87eIYHpj6Z,48,De Diepte,6XAKVt3CT7r1Zf0uiMWt7o,single,2022-03-03,176603
11,Ochman,45YERUZVQOedUFX24vFcvc,River,2fSz6MBKMPjOApUhGYfPid,39,River,4KshQUp3ITJ4UQu4gNqWYD,single,2022-02-03,180201
12,STEFAN,4PLGCdwxxGsxNXX7G7Spug,Hope,6sSq38pmQxG0YuvbipDoEi,36,Hope,0aunt675a1C2mknBYoAlpK,single,2021-12-05,183902
13,Monika LIU,2YLwIrzSnsbpBMKWzwu6JD,Sentimentai,0JNPmXGU9K9DJpV9eHppZz,0,Sentimentai,7vlt4TnVHs132OL0a0YE5E,single,2022-01-18,180000
14,Sheldon Riley,4C1LOSp9paX8u9JMaWXfKc,Not The Same,27ThQIsofXro6xEz3SzQWi,37,Not The Same,2lETgBF9RpI5Yis4IRPQdL,single,2022-02-15,178325
15,Nadir Rustamli,7dFX4qcHIofGy7IronPXrO,Fade to black,7aX4w6c7gSqbTBoU8g2lnm,34,Fade to black,5R1xdmueRaQUorUYmDK7Ga,single,2022-03-21,177386
16,Marius Bear,6thEUEg4pJq0H4aLVqNMwb,Boys Do Cry,5A3JxIX04W5Ttu6Rxy5tWW,33,Boys Do Cry,1PA9VlnwgXGN0W7K5YnkoI,single,2022-03-08,176602
17,Andrei Ursu,2ej9sGNpApicrgDhJkcPeW,Llámame - Eurovision Version,2UnSxV0QzImhl3qMIYMLNn,29,Mandala,4wq7HtVdUwIlFfub1fATWZ,single,2022-03-31,184500
18,Jérémie Makiese,6VCBinAerlvZxvXSHAFVuq,Miss You,4VgSGm7CroAlCCt9GKQ75Z,38,Miss You,65zDaQ8wTT3GptmsF98fXs,single,2022-03-10,173333
19,Rosa Linn,46xBNx0j6cwY6sD9LgMTm1,SNAP,0QPRDC97rIQB3Jh3hrVJoH,0,SNAP,4Cv9qCS1q3FDyyRFHGyc1g,single,2022-03-19,179551
20,The Rasmus,76ptJV8617638xrpeoUtzl,Jezebel,2NehRqeFiEGV72lFfqJGUn,40,Jezebel,5zhjGDcXytCo05wRxkNtIX,single,2022-01-17,190863
21,We Are Domi,68nZwIknhC5s9gLHPly09S,Lights Off - ESC Version,0tOKpglJb9cza4WdTtxsv7,36,Lights Off (ESC Version),2KdNg6kVcSruJSCG1JU9Mz,single,2022-02-14,179323
22,Systur,2ZcBLLXgX6mpYvUciCT89i,Með hækkandi sól,4t3gM4Rl5rz5du0Qn2Yd8K,0,Söngvakeppnin 2022,1SZxfKraoJgUaqcxT3xdvi,compilation,2022-02-05,180733
23,Alvan,25OslGicPT7wGn5Ovf4Uwx,Fulenn,2ewv8FkYHVy3Mv0uf5Pi7k,29,Fulenn,5zcojJ1clKrh13zYgdeWvD,single,2022-04-15,166255
24,Malik Harris,7B6Uk58O2DVfg1xZPKEp4n,Rockstars,0KBS6MmhnlB2i1AjcYiDlN,46,Rockstars,17ELSBzLZLgQHlt5QGBWgh,single,2022-02-04,179706
25,Mia Dimšić,5OMMsMMYPBG3HvYrzq3rq4,Guilty Pleasure,6MWUN34oNnK4FPBUlb7sdX,0,Guilty Pleasure,2WyoEnQ0en2Inabxv1EJ4L,single,2022-04-28,181506
26,Andrea,1ZsxPvWI4hMiJXzCcrLRed,Circles,1pIbvmEIda1T9v9Oi227mn,26,Circles,2c4YALWp1i76sAWg950ADO,single,2022-03-25,180000
27,Ronela Hajati,6oJgxdOelVr3JnOY9u3j9K,SEKRET,0zC65JcBBk4GYAjL2tHKXa,0,SEKRET,1rgqkkA0icE8lUBV2amAvf,single,2022-03-05,181116
28,Andromache,0dn2Cwr75Rl4bh7yTwTorv,Ela,70HQXHPuU7EyUroOYkOzdk,36,Ela,78osnynpxNHpfdParu3Hzi,single,2022-03-11,182484
29,REDDI,6r1vH3ncGYfwHZSBybsRha,The Show,68UTfPKNrG4L9zKYcnD8fQ,27,The Show,5zNmVF3vaD62rpfamCQafH,single,2022-02-10,180000
30,Michael Ben David,3ZOg74Rm98FXI86cSo0nIk,I.M,4Bpz4FBsoe9lhuiCWZv21x,26,I.M,4J7CE59Na4Zkp7vGecENrX,single,2022-03-14,163041
31,Citi Zēni,0kJje6gpjclOrCsPxZtoAW,Eat Your Salad,1ShAVm7yacVov9jHpxvazy,33,Eat Your Salad,4K58jhE9eNiuD0uqEzhLVW,single,2022-05-20,181034
32,Achille Lauro,0lI3rF4hi4op6UxqlLHPzv,STRIPPER,1PpH00KzrWRN3um8vSbi7A,33,STRIPPER,5signiEjXCZZpBmj9xwfQR,single,2022-03-04,173013
33,LUM!X,0TKFPt9w0AAEnhB9bd0pLy,Halo (feat. PIA MARIA),6WVHfpzYW3HooQaCC80opC,50,Halo (feat. PIA MARIA),3IW2pdhIz1KqoJDr6sxe24,single,2022-03-11,159600
34,Brooke,2LYnplZ8En2Jao1Xkv4iS2,That's Rich,1oS41M8cx60aAeNe3k5Csw,0,That's Rich,0WDdIqcxM0h7KsBc7Up83L,single,2022-01-19,181813
