,artists_name,track_name,popularity,duration
0,Käärijä,Cha Cha Cha,59,175161
1,Loreen,Tattoo,76,183374
2,Alessandra,Queen of Kings,64,147979
3,BLANKA,Solo,50,154710
4,Andrew Lambrou,Break a Broken Heart,45,178506
5,Victor,What They Say,29,179672
6,Noa Kirel,Unicorn,47,170900
7,Vesna,My Sister's Crown,45,176800
8,La Zarra,Évidemment,49,181000
9,The Busker,Dance (Our Own Party),33,169514
10,TuralTuranX,Tell Me More,28,178750
11,Wild Youth,We Are One - Eurovision Song Contest Edit,0,172500
12,Remo Forrer,Watergun,45,172555
13,Let 3,Mama ŠČ!,36,154888
14,Mia Nicolai,Burning Daylight,37,184000
15,Luke Black,Samo mi se spava,38,173592
16,Joker Out,Carpe Diem,44,165702
17,TEYA,Who the Hell Is Edgar?,46,159417
18,Diljá,POWER,33,183750
19,Iru,Echo - Eurovision 2023 - Georgia,33,181461
20,Voyager,Promise,39,183510
21,Albina Kelmendi,Duje,30,182758
22,Gustaph,Because Of You,42,179908
23,Brunette,Future Lover,40,166019
24,Piqued Jacks,Like an Animal,0,179773
25,Pasha Parfeni,Soarele si Luna,40,178800
26,Sudden Lights,Aijā,34,180782
27,TVORCHI,Heart of Steel - Eurovision Version,39,158461
28,ALIKA,Bridges,41,185610
29,Mimicat,Ai Coração,35,174123
30,Mae Muller,I Wrote A Song,0,165151
31,Marco Mengoni,Due Vite,54,225652
32,Monika Linkyte,Stay,34,184285
33,Blanca Paloma,EAEA,34,179680
34,Lord Of The Lost,Blood & Glitter,41,179100
35,Reiley,Breaking My Heart,34,165179
36,Theodor Andrei,D.G.T (Off And On),25,179165
37,Joker Out,Carpe Diem - English Version,0,165816
