,artists_name,track_name,popularity,playlist_followers,duration
0,Joost,Europapa,64,18275,160218
1,Angelina Mango,la noia,58,18275,189124
2,Nemo,The Code,61,18275,180141
3,Slimane,Mon amour,60,18275,180908
4,Baby Lasagna,Rim Tim Tagi Dim,58,18275,179062
5,Marcus & Martinus,Unforgettable,54,18275,168845
6,alyona alyona,Teresa & Maria,57,18275,179473
7,Nebulossa,ZORRA,54,18275,183577
8,Marina Satti,ZARI,48,18275,180979
9,Bambie Thug,Doomsday Blue,54,18275,183741
10,Eden Golan,Hurricane,50,18275,178965
11,ISAAK,Always on the run,54,18275,209562
12,Silvester Belt,Luktelk,0,18275,161142
13,Olly Alexander (Years & Years),Dizzy - Performance Version,20,18275,180504
14,Kaleen,We Will Rave,51,18275,185066
15,Windows95Man,No Rules!,48,18275,175896
16,5MIINUST,(nendest) narkootikumidest ei tea me (küll) midagi,46,18275,167125
17,Mustii,BEFORE THE PARTY'S OVER,45,18275,179923
18,LUNA,The Tower,44,18275,180333
19,TALI,Fighter - Eurovision Version,46,18275,179738
20,Silia Kapsis,Liar,36,18275,178812
21,Ladaniva,Jako,47,18275,145432
22,Aiko,Pedestal - Eurovision version,39,18275,177368
23,Gåte,Ulveham,0,18275,182346
24,Teya Dora,Ramonda,0,18275,174352
25,Raiven,Veronika,41,18275,166222
26,Dons,Hollow,42,18275,171817
27,SABA,SAND,41,18275,180959
28,iolanda,Grito,35,18275,176447
29,Nutsa,Firefighter,26,18275,183913
30,Electric Fields,One Milkali (One Blood),37,18275,176883
31,Besa,TiTAN,35,18275,176707
32,Fahree,Özünlə Apar,37,18275,182090
33,Sarah Bonnici,Loop,39,18275,179727
34,Megara,11:11,36,18275,180087
35,Natalia Barbu,In the Middle,33,18275,178853
36,Hera Björk,Scared of Heights,33,18275,183657
