LastFM_25_Artists_Info
artista;url;oyentes;reproducciones;generos;artistas_similares;biografia_resumen;year
Duncan Laurence;https://www.last.fm/music/Duncan+Laurence;576051;8424448;pop, Eurovision, soul;Cornelia Jakobs, Rosa Linn, Gjon's Tears;"Duncan Laurence is a Dutch singer who represented The Netherlands at the Eurovision Song Contest 2019. He won the contest with a total of 498 points, achieving the first win in 44 years and 5th win overall for the Netherlands.
He previously participated in The Voice Of Holland, coached by Ilse DeLange under his real name, Duncan de Moor and sang lead vocals for the band The Slick And Suited. Read more on Last.fm";2019
Keiino;https://www.last.fm/music/Keiino;65276;2093717;pop, norwegian, Eurovision;;"Keiino (stylised as KEiiNO) are a Norwegian electropop trio that focus around incorporating ethnic Sami elements into their music. The group consists of Sámi songwriter, rapper, and joiker Fred Buljo, and singers Alexandra Rotan and Tom Hugo.

In 2019 KEiiNO won the 2019 Melodi Grand Prix with the song Spirit in the Sky and earned the right to represent Norway at the 2019 Eurovision Song Contest. At the contest, KEiiNO placed 6th overall whilst winning the public televote and, in the process, achieved Norway's second best result of the decade. Read more on Last.fm";2019
Maruv;https://www.last.fm/music/MARUV;85639;1954030;pop, electronic, Ukraine;LOBODA, SHLAKOBLOCHINA, Елена Темникова;Anna Korsun (Ukrainian: Aнна Корсун, born February 2, 1992 in [/bornplace]Pavlohrad, Ukraine[/bornplace]), better known as MARUV, is an Ukrainian singer, composer, poet and producer. She lives and works in Kyiv.  A musical project called Maruv with her participation existed from February 2017 until March 2018. It was the successor of the band Pringlez. Later, Korsun gave an interview in which she explained that now she speaks personally under the pseudonym Maruv. Read more on Last.fm;2019
Tamta;https://www.last.fm/music/Tamta;49769;916061;Greek, pop, Greek Pop;Eleni Foureira, Marina Satti, Elena Tsagrinou;"Tamta Goduadze (Greek: Τάμτα Γκοντουάτζε, Georgian: თამთა გოდუაძე), professionally known as Tamta, is a Greek pop singer who rose to fame in Greece and Cyprus after her participation in the talent show 'Super Idol' (the Greek version of 'Pop Idol') in which she placed second behind Σταύρος Κωνσταντίνου.

Tamta was born and raised in Georgia, where she started singing at the age of five. She has a daughter, Annie, whom she gave birth to at the age of 14. Read more on Last.fm";2019
Kate Miller-Heidke;https://www.last.fm/music/Kate+Miller-Heidke;137281;2224998;australian, singer-songwriter, female vocalists;Lisa Mitchell, Meg Washington, Missy Higgins;"Kate Miller-Heidke (born 16 November 1981) is a singer-songwriter from Brisbane, Queensland. Although trained as an opera singer, she has followed a career in quirky pop music.

In June 2004, she independently released her first seven-track EP, ""Telegram"". It was followed in April 2006 by ""Circular Breathing"" EP. Kate released her debut album Little Eve on 15 June 2007 (produced by Magoo). The album entered the charts at #11 and received four ARIA award nominations. Read more on Last.fm";2019
Barbara Pravi;https://www.last.fm/music/Barbara+Pravi;161738;2602209;chanson, pop, french;La Zarra, Pomme, Zaho de Sagazan;"Barbara Pravi (real name: Barbara Piévic) is a French singer of Serbian and Iranian descent. Based in Paris, she started her career as a cast member in the french musical « Un été 1944 » (A 1944 summer) in 2016. She debuted as a solo artist with her first single ""Pas grandir"" (Not growing up) in 2017 and released her first eponymous EP in 2018.  
Involved with the feminist movement and fighting against violence against women, she released on International Women's Day (March 8th Read more on Last.fm";2021
Måneskin;https://www.last.fm/music/M%C3%A5neskin;1491971;79445823;rock, glam rock, italian;Palaye Royale, Mahmood, The Pretty Reckless;"Måneskin (Italian pronunciation: ˈmɔːneskin, Danish: ˈmɔːnəˌske̝nˀ, Danish for 'moonshine' or 'moonlight') is an Italian glam rock and funk rock band from Rome, consisting of lead vocalist Damiano David, bassist Victoria De Angelis, guitarist Thomas Raggi, and drummer Ethan Torchio. 
The band rose to fame after finishing second in the eleventh season of the Italian talent show X Factor in 2017. Måneskin won the Sanremo Music Festival 2021 and the Eurovision Song Contest 2021 with the song ZITTI E BUONI  (lit. 'Shut up and behave'). Read more on Last.fm";2021
Efendi;https://www.last.fm/music/efendi;60938;980395;pop, azerbaijan, Eurovision;;"Samira Efendi is an Azerbaijani singer. She was supposed to represent her country at the Eurovision Song Contest 2020 with ""Cleopatra"", but after the cancellation of the event, she was reconfirmed for the 2021 edition. Samira Efendi competed in Eurovision Song Contest with the song ""Mata Hari"". Efendi competed in the first semi-final. She finished 8th and qualified for the final. Efendi competed in the grand final with the running order number 22 and finished 20th with 65 points. Read more on Last.fm";2021
Tusse;https://www.last.fm/music/Tusse;53168;539038;swedish, soul, melodifestivalen 2021;Natalia Gordienko, Dotter, Robin Bengtsson;"Tousin Michael Chiza (born 1 January 2002), known as Tusse, is a Congolese-Swedish singer.[1]

Chiza was born in Congo-Kinshasa and came to Sweden alone as a refugee, in Sweden he started to live with a family in the village of Kullsbjörken where he has resided since 2015.[2][3] He participated as a singer in the Swedish talent show Talang 2018 (as Tousin Chiza) which was as well broadcast on TV4; he made it to the semifinals before being eliminated. Read more on Last.fm";2021
The Roop;https://www.last.fm/music/THE+ROOP;72271;1207671;pop, pop rock, Eurovision;Gjon's Tears, Efendi, Natalia Gordienko;"The Roop are a Lithuanian pop rock band from Vilnius. Formed in 2014, the group consists of lead vocalist Vaidotas Valiukevičius, percussionist Robertas Baranauskas and guitarist Mantas Banišauskas. The group has released two albums—To Whom It May Concern in 2015 and Ghosts in 2017–as well as the extended play Yes, I Do in 2018.[2] They were due to represent Lithuania in the Eurovision Song Contest 2020 with their song ""On Fire"" after winning their country's national selection, before the contest was cancelled. Read more on Last.fm";2021
Mahmood;https://www.last.fm/music/Mahmood;213876;8656487;pop, italian, rnb;Elodie, Angelina Mango, Rose Villain;"Alessandro Mahmoud (born 12 September 1992 in Milan), known by the stage name Mahmood, is an Italian singer-songwriter. His mother is Italian while his father is Egyptian. He won the 2019 Sanremo Music Festival on 9 February 2019 with the song ""Soldi"". He had earned a spot at the Sanremo Music Festival by winning the second night of the standalone Sanremo Giovani 2018 competition on 21 December 2018 with the song ""Gioventù bruciata"". He previously competed on the sixth series of the Italian reality television singing competition X Factor.  Read more on Last.fm";2022
LUM!X;https://www.last.fm/music/LUM%21X;202859;2598088;dance, austrian, Eurovision;R3hab, Tungevaag, B3nte;LUM!X is an Austrian DJ and producer. Luca Michlmayr, better known as LUM!X, is one of the fastest-rising stars in the dance and electronic music industry. With over half a Billion Streams, the Multi-Platinum Producer is quickly becoming one of the most successful download artists of recent times.  His most successful track to date has been 'Monster' released in 2019 being 3x PLATINUM and 7x GOLD verified. It features Gabry Ponte, the Italian DJ and Read more on Last.fm;2022
S10;https://www.last.fm/music/S10;85114;3568678;pop, dutch, seen live;Froukje, Merol, Cornelia Jakobs;"Stien den Hollander, better known as S10, is a Dutch singer and rapper. She first rose to prominence in 2016 with her self-released mini-album Antipsychotica, which she recorded using her Apple headphones and uploaded to Soundcloud. She was then signed to Noah’s Ark Label in 2017. Under the label, she released two EPs, which both detail her struggle with mental illness. Both mini-albums being named after types of psychiatric medication.

In 2019, she released her debut album Snowsniper. Read more on Last.fm";2022
Maro;https://www.last.fm/music/Maro;183131;2769510;pop, portuguese, Eurovision;Iolanda, Salvador Sobral, Cláudia Pascoal;"There are two artists that go by the name Maro:

1) Maro is an artistic name of Mariana Secca, a 29 year old multi-instrumentist and composer from Lisbon, Portugal. In 2018, she released her first solo album, in 3 volumes: Maro, Vol. 1, Maro, Vol. 2, and Maro, Vol. 3. All songs are organized chronologically and are sung in Portuguese and English. Maro started studying classic piano at the age of 4, later completing the Conservatory Diploma at the age of 17, along with her High School Diploma. Read more on Last.fm";2022
Subwoolfer;https://www.last.fm/music/Subwoolfer;66905;900344;pop, Eurovision Song Contest, norwegian;KEiiNO, THE ROOP, Efendi;"Subwoolfer will be competing in the Melodi Grand Prix in Norway in 2022.

Not much is known about the band but the official description of them is as follows:
‘Subwoolfer’ -The biggest band in the Galaxy,first formed 4.5 billion years ago on their home planet, the moon. Since then the brothers, ‘Keith’ and ‘Jim’, have conquered the music scene on every planet, making them the most successful pop group ever. On 20th June, 1969, a prophet named Neil appeared to them in a stable Read more on Last.fm";2022
Loreen;https://www.last.fm/music/Loreen;681562;16818402;pop, swedish, female vocalists;Dotter, Cornelia Jakobs, Anna Bergendahl;"Loreen (born Lorine Zineb Nora Talhaoui on October 16, 1983 in Västerås, Sweden) is a Swedish singer and music co-producer of Moroccan-Berber descent, who rose to international fame after winning the Eurovision Song Contest 2012 in Baku, Azerbaijan, with chart topping ""Euphoria"". Later on going to once again win Eurovision Song Contest in 2023 in Liverpool, United Kingdom with her successful song ""Tattoo"". Read more on Last.fm";2023
Alessandra;https://www.last.fm/music/Alessandra;166923;2967705;pop, norwegian, female vocalists;KEiiNO, Remo Forrer, Andrew Lambrou;"Two artists go by the moniker Alessandra:

1) Alessandra Mele, the Norwegian-Italian powerpop artist who from a very young age began to sing, dance and cook with her mother to the sound of Frank Sinatra. Born 5. September 2002. Already at the age of 6, she participated in her first singing competition and won with the ABBA classic ""Dancing Queen"".  It turned out that Alessandra loved being on stage - the only place where she could be herself.  The probability that you yourself have seen Alessandra perform is high. Read more on Last.fm";2023
Käärijä;https://www.last.fm/music/K%C3%A4%C3%A4rij%C3%A4;225502;8525473;finnish, rap, Eurovision;KUUMAA, Bess, Portion Boys;"Jere Pöyhönen, known professionally as Käärijä, is a Finnish rapper, singer and songwriter.

Käärijä is an artist who is almost impossible to define. Unabashed and unpredictable, Käärijä loves to break boundaries, follow his own beat and explore new things. Käärijä’s debut album Fantastista was released in 2020. The artist’s music takes on a whole new dimension live – indeed, Käärijä’s unfettered live performances are what he’s known for. Read more on Last.fm";2023
Marco Mengoni;https://www.last.fm/music/Marco+Mengoni;120136;3980247;pop, italian, X factor;Annalisa, Mahmood, Francesca Michielin;"Marco Mengoni is an Italian pop singer-songwriter who rose to fame in 2009, after winning the third season of the Italian talent show X Factor. Since that he has sold over 2.8 million records in Italy, topping the Italian albums chart seven consecutive times and entering the Top 10 Italian Singles Chart fifteen times.

He won the Sanremo Music Festival in 2013 (with ""L'Essenziale"") and again in 2023 (with ""Due Vite).

Mengoni has received several awards during his career Read more on Last.fm";2023
Blanka;https://www.last.fm/music/Blanka;90291;969832;psytrance, swedish, psychedelic;Margaret, Doda, Sarah Bonnici;"There are several artists called Blanka:

1) Blanka Stajkow (Bulgarian: Бланка Стайков; born 23 May 1999 in Szczecin, Poland) is a Polish singer and model. She represented Poland in the Eurovision Song Contest 2023 with the song ""Solo"", finishing in 19th place.

2) Blanka is Swedish progressive rock band that became popular in 2002 when their song 'I smell of you' was in the movie Lilya 4-ever made by Lukas Moodysson. They released a self-titled EP in 2003 and the album Paloma Blanka in 2004, both on the Diapazam label. Read more on Last.fm";2023
Joost;https://www.last.fm/music/Joost;292120;18053026;dutch, Hip-Hop, seen live;Vieze Asbak, De Jeugd van Tegenwoordig, The Opposites;Joost Klein (Born November the 10th 1997, Leeuwarden) did not have an easy childhood. When he was only twelve years old, his father died of cancer. Less than a year later, his mother died of cardiac arrest. He continued as an orphan and started a YouTube channel: EenhoornJoost. It is difficult to put a label on him: he makes absurdist videos without a common thread - in no way comparable to standard child-friendly vloggers. Joost's sketches are often funny. Read more on Last.fm;2024
Nemo;https://www.last.fm/music/Nemo;184715;2774399;Progressive rock, seen live, french;Slimane, Il Volo, Alvan;"There are multiple artists by this name.

1) Swiss singer, winner of the Eurovision Song Contest 2024, representing Switzerland
  2) A French progressive rock group.
  3) A Japanese post-punk/alternative rock band.
  4) An English electro rock/neo-synth band from North London.
  5) A Belgian rock band from the 90's.
  6) A now-defunct guitar-noise band from Winnipeg, Manitoba.
  7) A dance-rock, numetal and reggae influenced band from Mainz, Germany. Read more on Last.fm";2024
Slimane;https://www.last.fm/music/Slimane;95562;1380659;pop, french, Eurovision;Vitaa, Vianney, Amir;"Slimane Nebchi (born 13 October 1989), known professionally by the mononym Slimane, is a French singer. Nebchi won season 5 The Voice: la plus belle voix in 2016, and has since released a debut album and nine singles.

Early Life
Slimane Nebchi was born on 13 October 1989 in Chelles, Seine-et-Marne, France. He is of Algerian descent. He attended Lycée Jehan de Chelles, later moving to Les Lilas, a suburb of Paris, where he worked for la société ATEED. Read more on Last.fm";2024
