,artists_name,track_name,popularity,duration,eurovision_year
0,Chingiz,Truth - Radio Edit,0,209411,Eurovision 2019
1,John Lundvik,Too Late For Love,0,178133,Eurovision 2019
2,Kate Miller-Heidke,Zero Gravity,38,177443,Eurovision 2019
3,Michela,Chameleon,0,179698,Eurovision 2019
4,Mahmood,Soldi,0,195476,Eurovision 2019
5,Duncan Laurence,Arcade,74,183624,Eurovision 2019
6,Lake Malawi,Friend Of A Friend,35,172641,Eurovision 2019
7,Hatari,Hatrið Mun Sigra,0,178920,Eurovision 2019
8,Katerine Duska,Better Love,29,181360,Eurovision 2019
9,Bilal Hassani,Roi,21,177250,Eurovision 2019
10,Sergey Lazarev,Scream,0,178643,Eurovision 2019
11,Luca Hänni,She Got Me,0,180816,Eurovision 2019
12,Zena,Like It,0,181381,Eurovision 2019
13,Tamta,Replay,39,173812,Eurovision 2019
14,S!Sters,Sister,23,180000,Eurovision 2019
15,Michael Rice,Bigger Than Us,0,178098,Eurovision 2019
16,Leonora,Love Is Forever,31,181013,Eurovision 2019
17,Zalagasper,Sebi - Dare To Dream Version,25,180013,Eurovision 2019
18,Serhat,Say Na Na Na,0,178930,Eurovision 2019
19,Keiino,Spirit In The Sky,45,185157,Eurovision 2019
20,Tulia,Fire Of Love (Pali Się),25,165846,Eurovision 2019
21,Sarah Mcternan,22,23,173214,Eurovision 2019
22,Eliot,Wake Up,0,179400,Eurovision 2019
23,Tamara Todevska,Proud,33,180000,Eurovision 2019
24,Darude,Look Away,25,179613,Eurovision 2019
25,Paenda,Limits,15,204714,Eurovision 2019
26,Victor Crone,Storm,35,185625,Eurovision 2019
27,Srbuk,Walking Out,0,176903,Eurovision 2019
28,Jurijus,Run With The Lions,22,180806,Eurovision 2019
29,Kobi Marimi,Home,0,178237,Eurovision 2019
30,Pápai Joci,Az Én Apám - Esc Version,0,183750,Eurovision 2019
31,Ester Peony,On A Sunday,0,184933,Eurovision 2019
32,D-Mol,Heaven,15,174782,Eurovision 2019
33,Anna Odobescu,Stay,19,180517,Eurovision 2019
34,Carousel,That Night,25,181523,Eurovision 2019
35,Jonida Maliqi,Ktheju Tokës - Eurovision 2019 / Albania,0,185192,Eurovision 2019
36,Nevena Bozovic,Kruna,0,187125,Eurovision 2019
37,Roko Blažević,The Dream,0,180074,Eurovision 2019
38,Miki Núñez,La Venda - Eurovision Song Contest / Tel Aviv 2019,30,179558,Eurovision 2019
39,Conan Osiris,Telemoveis,29,185688,Eurovision 2019
40,Oto Nemsadze,Keep On Going,17,184878,Eurovision 2019
41,Maruv,Siren Song,40,171130,Eurovision 2019
42,Måneskin,Zitti E Buoni,56,192654,Eurovision 2021
